City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Sarangani,PH,82.71,light rain,5.4,125.46,Ballistic Islet
6,Rio Branco,BR,77.0,shower rain,-9.97,-67.81,João Paulo Hotel
8,Kloulklubed,PW,83.19,overcast clouds,7.04,134.26,Storyboard Beach Resort
10,Rikitea,PF,76.55,light rain,-23.12,-134.97,Pension Maro'i
23,Camocim,BR,86.7,overcast clouds,-2.9,-40.84,Hotel Ilha do Amor
24,Vaini,TO,75.2,few clouds,-21.2,-175.2,Keleti Beach Resort
26,Georgetown,MY,77.0,few clouds,5.41,100.34,Cititel Penang
27,Ende,ID,79.59,light rain,-8.84,121.66,Dwi Putra Hotel - Ende
30,Butaritari,KI,81.72,light rain,3.07,172.79,Isles Sunset Lodge
34,Atuona,PF,78.84,clear sky,-9.8,-139.03,Villa Enata
40,Saint-Philippe,RE,75.2,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
43,Luanda,AO,80.6,broken clouds,-8.84,13.23,EPIC SANA Luanda
46,Puerto Ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
50,Vangaindrano,MG,75.22,light rain,-23.35,47.6,Hotel Fanilo
55,Souillac,MU,75.2,scattered clouds,-20.52,57.52,Bils' Villa
58,Carutapera,BR,84.18,scattered clouds,-1.2,-46.02,Lidera
59,Bambous Virieux,MU,75.2,scattered clouds,-20.34,57.76,Casa Tia Villa
60,Sao Joao Da Barra,BR,82.4,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
62,Champerico,GT,87.8,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
73,Key West,US,81.0,broken clouds,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
77,Mar Del Plata,AR,80.6,overcast clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
79,Namatanai,PG,79.52,overcast clouds,-3.67,152.43,Namatanai Hotel
80,Cayenne,GF,82.4,light rain,4.93,-52.33,Hôtel Le Dronmi
83,Talara,PE,78.8,clear sky,-4.58,-81.27,Hostal Oro Negro
86,Cabo San Lucas,MX,77.0,broken clouds,22.89,-109.91,Hotel Tesoro Los Cabos
90,Sola,VU,79.38,light rain,-13.88,167.55,Ulkel Guest House
96,Manta,EC,78.8,few clouds,-0.95,-80.73,Balandra Hotel
99,Hithadhoo,MV,81.79,broken clouds,-0.6,73.08,Scoop Guest House
103,Eyl,SO,77.29,clear sky,7.98,49.82,Amiin Hotel
106,Salalah,OM,78.8,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
107,Sao Filipe,CV,75.7,overcast clouds,14.9,-24.5,Tortuga B&B
111,Mount Isa,AU,77.0,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
112,Nampula,MZ,80.6,broken clouds,-15.12,39.27,Tacab Residencial
121,Caravelas,BR,79.66,broken clouds,-17.71,-39.25,Pousada dos Navegantes
129,Alyangula,AU,75.2,mist,-13.85,136.42,Groote Eylandt Lodge
133,Lufilufi,WS,80.6,broken clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
135,Poum,NC,75.33,clear sky,-20.23,164.02,Gîte kajeon
136,Harper,LR,79.59,clear sky,4.38,-7.72,Screensaver
146,Banda Aceh,ID,77.81,moderate rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
153,Chuy,UY,77.47,moderate rain,-33.7,-53.46,Nuevo Hotel Plaza
159,Ixtapa,MX,80.6,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
175,Richards Bay,ZA,78.55,overcast clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
178,Nuevo Progreso,MX,84.0,scattered clouds,23.17,-97.95,Balneario Rio el Paraiso
180,Cururupu,BR,86.27,overcast clouds,-1.83,-44.87,Pousada Través'cia
184,Muisne,EC,82.4,overcast clouds,0.6,-80.03,Quinta Samay
192,Vallenar,CL,86.09,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
193,Kano,NG,78.8,clear sky,12.0,8.52,La Sultana Hotel
196,Gabaldon,PH,75.54,heavy intensity rain,15.45,121.34,Leivy Lance Resort
197,Djibo,BF,81.0,clear sky,14.1,-1.63,Centre Des Ressources DPENA
205,Castro,BR,75.51,broken clouds,-24.79,-50.01,CHACARA BAILLY
217,Dingle,PH,75.7,overcast clouds,11.0,122.67,SEGAYA PROPERTY
218,Arraial Do Cabo,BR,82.4,clear sky,-22.97,-42.03,Pousada Porto Praia
220,Saint-Joseph,RE,75.2,clear sky,-21.37,55.62,"""Plantation Bed and Breakfast"
229,Port-Gentil,GA,80.6,few clouds,-0.72,8.78,Fengshui Residence
230,Takoradi,GH,79.57,light rain,4.88,-1.76,Raybow International Hotel
234,Kavaratti,IN,82.17,scattered clouds,10.57,72.64,Hotels in Lakshadweep Islands
236,Sehithwa,BW,80.2,light rain,-20.47,22.72,MONLEK GUEST HOUSE
237,Araceli,PH,82.87,broken clouds,10.55,119.99,JBryan Traveler's Inn
252,Sinazongwe,ZM,81.57,broken clouds,-17.26,27.46,Lakeview Lodge
262,Yulara,AU,84.2,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
263,Neuquen,AR,86.0,clear sky,-38.95,-68.06,Hotel del Comahue
269,Virarajendrapet,IN,78.8,mist,12.2,75.8,Orchid Inn
275,Pio Ix,BR,88.84,overcast clouds,-6.84,-40.58,Hotel Central
277,Veraval,IN,77.45,clear sky,20.9,70.37,Lords Inn Somnath
280,Leo,BF,87.39,overcast clouds,11.1,-2.1,Hotel Sissilis
283,Quatre Cocos,MU,75.2,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
285,Maumere,ID,81.77,moderate rain,-8.62,122.21,Sylvia Hotel
287,Labuhan,ID,79.05,overcast clouds,-6.88,112.21,bador sepret
292,Kudahuvadhoo,MV,82.94,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
297,Natitingou,BJ,78.8,few clouds,10.3,1.38,Auberge Centrale
298,Meulaboh,ID,75.25,light rain,4.14,96.13,Kost Pria
299,Porto Novo,BJ,82.4,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
301,La Asuncion,VE,87.8,scattered clouds,11.03,-63.86,Colinas de Matasiete
303,Flinders,AU,84.0,overcast clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
311,Kiama,AU,84.0,overcast clouds,-34.68,150.87,The Sebel Kiama Harbourside
312,Kanluran,PH,78.8,scattered clouds,14.42,120.85,Mount Sea Resort
313,Lorengau,PG,82.33,light rain,-2.02,147.27,Lorengau Harbourside Hotel
316,Wewak,PG,77.85,light rain,-3.55,143.63,In Wewak Boutique Hotel
