City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.59,26.89,65.34,84,23,12.86,light rain
1,Cape Town,ZA,-33.93,18.42,66.0,82,20,21.92,few clouds
2,Albany,US,42.6,-73.97,48.99,65,56,1.01,broken clouds
3,Pangkalanbuun,ID,-2.68,111.62,74.84,97,100,2.89,overcast clouds
4,Sarangani,PH,5.4,125.46,82.71,74,100,8.21,light rain
5,Punta Arenas,CL,-53.15,-70.92,48.2,57,75,25.28,broken clouds
6,Rio Branco,BR,-9.97,-67.81,77.0,94,40,8.05,shower rain
7,Hilo,US,19.73,-155.09,73.99,68,1,6.93,clear sky
8,Kloulklubed,PW,7.04,134.26,83.19,76,92,10.45,overcast clouds
9,Dunedin,NZ,-45.87,170.5,53.01,77,32,23.0,scattered clouds
10,Rikitea,PF,-23.12,-134.97,76.55,81,100,13.98,light rain
11,Sivas,TR,39.79,37.0,28.4,74,0,6.93,clear sky
12,Kapaa,US,22.08,-159.32,69.8,73,75,4.7,broken clouds
13,Yaan,NG,7.38,8.57,83.68,30,13,3.11,few clouds
14,Severo-Kurilsk,RU,50.68,156.12,25.56,91,100,4.94,overcast clouds
15,Sioux Lookout,CA,50.1,-91.92,32.0,94,75,3.36,broken clouds
16,Xinyang,CN,32.12,114.07,38.5,87,100,1.52,overcast clouds
17,Carnarvon,AU,-24.87,113.63,68.0,82,25,18.34,scattered clouds
18,Saldanha,ZA,-33.01,17.94,62.6,72,0,20.8,clear sky
19,Beringovskiy,RU,63.05,179.32,9.39,94,40,14.16,scattered clouds
20,Koumac,NC,-20.57,164.28,73.22,72,1,4.09,clear sky
21,Nikolskoye,RU,59.7,30.79,32.0,94,90,8.95,overcast clouds
22,Te Anau,NZ,-45.42,167.72,47.21,86,32,0.2,scattered clouds
23,Camocim,BR,-2.9,-40.84,86.7,59,100,17.63,overcast clouds
24,Vaini,TO,-21.2,-175.2,75.2,94,20,5.82,few clouds
25,Altus,US,34.64,-99.33,42.8,58,90,6.93,moderate rain
26,Georgetown,MY,5.41,100.34,77.0,94,20,4.7,few clouds
27,Ende,ID,-8.84,121.66,79.59,76,89,1.28,light rain
28,Narsaq,GL,60.92,-46.05,33.8,80,75,12.75,light snow
29,Takab,IR,36.4,47.11,37.53,80,100,7.83,overcast clouds
30,Butaritari,KI,3.07,172.79,81.72,82,6,17.2,light rain
31,Walvis Bay,NA,-22.96,14.51,64.4,68,0,12.75,clear sky
32,Hamilton,US,39.18,-84.53,48.99,61,1,6.93,clear sky
33,Jamestown,US,42.1,-79.24,41.0,64,75,12.75,broken clouds
34,Atuona,PF,-9.8,-139.03,78.84,73,6,16.98,clear sky
35,Half Moon Bay,US,37.46,-122.43,59.0,41,1,3.85,clear sky
36,Taksimo,RU,56.34,114.88,-1.57,85,43,2.73,scattered clouds
37,Busselton,AU,-33.65,115.33,48.99,94,100,7.2,overcast clouds
38,Hobart,AU,-42.88,147.33,57.2,71,90,10.29,light intensity shower rain
39,Bluff,NZ,-46.6,168.33,54.0,76,95,13.0,overcast clouds
40,Saint-Philippe,RE,-21.36,55.77,75.2,69,0,9.91,clear sky
41,Hofn,IS,64.25,-15.21,38.97,74,100,14.2,overcast clouds
42,Sabha,LY,27.04,14.43,65.55,28,29,10.71,scattered clouds
43,Luanda,AO,-8.84,13.23,80.6,78,75,4.7,broken clouds
44,Troitsko-Pechorsk,RU,62.71,56.2,7.29,95,0,2.89,clear sky
45,Bredasdorp,ZA,-34.53,20.04,62.6,67,0,5.82,clear sky
46,Puerto Ayora,EC,-0.74,-90.35,77.0,73,75,21.92,broken clouds
47,Thompson,CA,55.74,-97.86,15.8,85,90,5.82,light snow
48,Nizhniy Ingash,RU,56.2,96.53,2.05,93,0,0.74,clear sky
49,Lata,PT,40.16,-8.33,55.0,82,99,1.01,light rain
50,Vangaindrano,MG,-23.35,47.6,75.22,91,47,7.38,light rain
51,Ilulissat,GL,69.22,-51.1,8.6,50,20,8.05,few clouds
52,Nanortalik,GL,60.14,-45.24,34.66,87,100,13.13,light snow
53,Makinsk,KZ,52.63,70.42,8.67,94,100,12.97,overcast clouds
54,Mataura,NZ,-46.19,168.86,54.0,76,70,13.0,broken clouds
55,Souillac,MU,-20.52,57.52,75.2,73,40,6.93,scattered clouds
56,Bella Vista,US,36.43,-94.23,54.0,43,1,4.7,clear sky
57,Nizhnevartovsk,RU,60.93,76.55,-2.2,84,75,3.24,broken clouds
58,Carutapera,BR,-1.2,-46.02,84.18,70,28,8.79,scattered clouds
59,Bambous Virieux,MU,-20.34,57.76,75.2,73,40,6.93,scattered clouds
60,Sao Joao Da Barra,BR,-21.64,-41.05,82.4,61,40,16.11,scattered clouds
61,Port Elizabeth,ZA,-33.92,25.57,64.4,93,90,4.7,overcast clouds
62,Champerico,GT,14.3,-91.92,87.8,66,40,9.17,scattered clouds
63,Sao Borja,BR,-28.66,-56.0,95.92,39,100,9.6,overcast clouds
64,Chokurdakh,RU,70.63,147.92,-7.64,92,100,6.38,overcast clouds
65,Oromocto,CA,45.84,-66.48,41.0,80,90,4.76,overcast clouds
66,Jardim,BR,-21.48,-56.14,97.63,31,62,2.91,broken clouds
67,Leningradskiy,RU,69.38,178.42,15.94,93,100,8.23,overcast clouds
68,Qaanaaq,GL,77.48,-69.36,1.78,85,100,6.78,overcast clouds
69,Mahon,ES,39.89,4.27,59.0,77,40,9.17,scattered clouds
70,Shelburne,CA,44.08,-80.2,43.0,64,44,17.49,scattered clouds
71,La Ronge,CA,55.1,-105.28,19.4,79,100,9.17,overcast clouds
