City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Philippe,RE,2020-11-24 23:20:12,-21.36,55.77,71.6,60,92,4.7
1,Hambantota,LK,2020-11-24 23:23:58,6.12,81.12,78.42,80,100,14.81
2,Vilyuysk,RU,2020-11-24 23:23:58,63.76,121.62,-0.78,91,100,8.93
3,Punta Arenas,CL,2020-11-24 23:23:13,-53.15,-70.92,48.2,66,75,16.11
4,Kaiserslautern,DE,2020-11-24 23:23:58,49.45,7.75,41.0,100,90,2.3
5,Hermanus,ZA,2020-11-24 23:20:05,-34.42,19.23,57.0,70,41,4.0
6,Namibe,AO,2020-11-24 23:23:59,-15.2,12.15,70.7,74,51,5.01
7,Diu,IN,2020-11-24 23:23:59,20.71,70.98,71.83,52,31,6.53
8,Mataura,NZ,2020-11-24 23:19:53,-46.19,168.86,66.99,48,0,5.99
9,Avarua,CK,2020-11-24 23:23:59,-21.21,-159.78,78.8,83,94,5.82
10,Dunedin,NZ,2020-11-24 23:20:03,-45.87,170.5,57.99,71,0,25.01
11,Jamestown,US,2020-11-24 23:23:59,42.1,-79.24,37.99,69,90,4.7
12,Kamaishi,JP,2020-11-24 23:23:59,39.27,141.88,33.8,100,75,2.24
13,Castro,BR,2020-11-24 23:19:58,-24.79,-50.01,65.48,83,40,7.09
14,Kaitangata,NZ,2020-11-24 23:20:31,-46.28,169.85,60.01,77,0,8.01
15,Geraldton,AU,2020-11-24 23:20:22,-28.77,114.6,68.0,77,2,10.29
16,Vidim,RU,2020-11-24 23:23:59,56.41,103.11,4.24,94,32,1.81
17,Ushuaia,AR,2020-11-24 23:21:21,-54.8,-68.3,44.6,70,75,6.93
18,Cape Town,ZA,2020-11-24 23:19:15,-33.93,18.42,59.0,58,75,5.82
19,Port Alfred,ZA,2020-11-24 23:24:00,-33.59,26.89,63.07,70,94,19.77
20,Kaiyuan,CN,2020-11-24 23:24:00,23.7,103.3,55.98,86,17,4.85
21,Pangnirtung,CA,2020-11-24 23:24:00,66.15,-65.71,5.0,77,90,11.41
22,Taicheng,CN,2020-11-24 23:24:00,38.73,113.23,19.24,86,97,2.39
23,Kurilsk,RU,2020-11-24 23:24:00,45.23,147.88,37.45,83,99,20.74
24,Langarud,IR,2020-11-24 23:24:00,37.2,50.15,51.87,75,1,8.57
25,Balikpapan,ID,2020-11-24 23:24:00,-1.27,116.83,77.0,100,20,2.24
26,Chokurdakh,RU,2020-11-24 23:22:30,70.63,147.92,-2.51,93,100,8.25
27,Butaritari,KI,2020-11-24 23:24:00,3.07,172.79,81.9,81,28,18.5
28,Huarmey,PE,2020-11-24 23:24:00,-10.07,-78.15,65.84,76,4,9.17
29,Nambucca Heads,AU,2020-11-24 23:24:00,-30.65,153.0,78.01,60,90,13.87
30,Port Elizabeth,ZA,2020-11-24 23:20:18,-33.92,25.57,60.8,77,20,12.75
31,Vaini,TO,2020-11-24 23:24:01,-21.2,-175.2,82.4,74,75,9.17
32,Victoria,HK,2020-11-24 23:20:07,22.29,114.16,73.0,81,46,16.98
33,Rikitea,PF,2020-11-24 23:24:01,-23.12,-134.97,74.79,80,100,12.44
34,Kodiak,US,2020-11-24 23:20:08,57.79,-152.41,39.2,80,1,7.38
35,Saskylakh,RU,2020-11-24 23:20:21,71.92,114.08,-6.18,91,95,4.72
36,Itoman,JP,2020-11-24 23:24:01,26.12,127.67,71.6,64,75,10.29
37,Ampanihy,MG,2020-11-24 23:24:01,-24.7,44.75,72.59,53,43,3.8
38,Fortuna,US,2020-11-24 23:20:41,40.6,-124.16,57.99,69,48,1.01
39,Lorengau,PG,2020-11-24 23:24:01,-2.02,147.27,85.1,67,87,6.8
40,San Patricio,US,2020-11-24 23:20:34,28.02,-97.52,80.6,65,20,27.51
41,Busselton,AU,2020-11-24 23:19:54,-33.65,115.33,60.01,76,1,13.71
42,Touros,BR,2020-11-24 23:24:01,-5.2,-35.46,78.8,78,40,8.05
43,Tasiilaq,GL,2020-11-24 23:24:02,65.61,-37.64,21.2,79,95,6.93
44,Cidreira,BR,2020-11-24 23:19:55,-30.18,-50.21,71.51,80,0,22.93
45,Clyde River,CA,2020-11-24 23:24:02,70.47,-68.59,8.6,92,90,28.86
